Time,registered_domain,entity_name,download_kbyte_count,upload_kbyte_count
00:59,,,0,0.06
00:59,garmin.com,Garmin International,6.453,1.525
00:47,google.com,Google,0.52,0.143
00:38,googleapis.com,Google,0,0.052
00:37,,,0.04,0.064
00:36,,,0.04,3.91
00:36,garmin.com,Garmin International,0,0.276
00:36,google.com,Google,50.363,18.718
00:36,googleapis.com,Google,107.69,62.445
00:36,googleusercontent.com,Google,0,0.052
00:35,garmin.com,Garmin International,0.377,0
00:32,garmin.com,Garmin International,0.104,0.232
00:31,gstatic.com,Google,0,0.052
00:30,googleapis.com,Google,26.857,9.998
00:30,googleusercontent.com,Google,24.743,7.347
00:30,gstatic.com,Google,0,0.468
00:30,,,0,0.345
00:30,google.com,Google,22.289,8.628
00:29,,,0,0.06
00:29,garmin.com,Garmin International,6.391,1.503
00:28,garmin.com,Garmin International,0.584,0.952
00:27,garmin.com,Garmin International,65.535,5.597
00:26,garmin.com,Garmin International,0.336,0.412
00:25,,,0,0.077
00:25,googleapis.com,Google,0.458,0.335
00:25,gstatic.com,Google,0.587,0.244
00:25,google.com,Google,2.673,2.655
00:24,,,0,0.068
00:24,googleapis.com,Google,91.314,55.106
00:23,,,0,0.065
00:23,garmin.com,Garmin International,64.912,54.992
00:22,googleapis.com,Google,28.266,52.213
00:22,,,0,0.138
00:22,bidmachine.io,Appodeal,0,0.052
00:22,garmin.com,Garmin International,427.286,162.634
00:22,gstatic.com,Google,0,0.156
00:22,naver.com,Naver,0.271,0.18
00:22,navercorp.com,Naver,0,0.052
00:22,vungle.com,Vungle,0.311,0.244
00:22,webtoons.com,Naver,0,0.052
00:21,bidmachine.io,Appodeal,5.861,2.171
00:21,naver.com,Naver,922.846,17.685
00:21,navercorp.com,Naver,5.975,2.403
00:21,vungle.com,Vungle,12.353,2.742
00:21,webtoons.com,Naver,4.367,1.478
00:21,,,0.094,3.651
00:21,emb-api.com,Embrace Mobile,10.188,2.818
00:21,garmin.com,Garmin International,191.552,46.539
00:21,google.com,Google,9.971,11.389
00:21,googleapis.com,Google,395.199,123.008
00:21,googleusercontent.com,Google,90.552,8.309
00:21,gstatic.com,Google,10.782,3.014
00:21,ntp.org,Network Time Foundation,0.076,0.076
00:21,nytimes.com,The New York Times Company,7.675,6.43
00:21,slack.com,Slack,9.182,2.893
00:21,slackb.com,,4.465,1.647
00:20,googleapis.com,Google,0.04,0.18
00:19,,,0,0.294
00:19,whatsapp.net,Facebook,3.023,1.489
00:19,googleapis.com,Google,3.86,3.024
00:18,google.com,Google,0.542,0.335
00:18,googleapis.com,Google,8.82,7.365
00:17,google.com,Google,0.47,0.052
00:17,,,0,0.068
00:17,googleapis.com,Google,90.672,52.494
00:17,whatsapp.net,Facebook,0,0.052
00:16,,,0,0.06
00:16,whatsapp.net,Facebook,2.015,3.006
00:16,actiondash.com,,0.454,0.367
00:16,googleapis.com,Google,12.113,9.524
00:15,google.com,Google,0.445,0.143
00:15,linkedin.com,Microsoft,4.318,3.987
00:15,,,0,1.473
00:15,actiondash.com,,6.067,2.439
00:15,googleapis.com,Google,5034.476,287.094
00:15,gstatic.com,Google,1.308,0.69
00:15,moengage.com,MoEngage,6.058,1.419
00:15,netflix.com,Netflix,0,0.052
00:15,whatsapp.net,Facebook,133.099,8.705
00:14,,,0,0.55
00:14,actiondash.com,,5.873,2.298
00:14,google.com,Google,17.615,7.873
00:14,googleapis.com,Google,28.472,38.743
00:14,netflix.com,Netflix,10.969,5.039
00:10,google.com,Google,0.508,0.081
00:09,,,0.183,0.116
00:09,ssiloc.com,,10.409,1.05
00:04,,,0,0.068
00:04,googleapis.com,Google,6.615,6.001
