date,total_steps
2025-11-06,7307
2025-11-07,6467
2025-11-08,9385
2025-11-09,12904
2025-11-10,1780
2025-11-11,8016
2025-11-12,5020
2025-11-13,6568
2025-11-14,12036
2025-11-15,8020
2025-11-16,18790
2025-11-17,3209
2025-11-18,10472
2025-11-19,8049
2025-11-20,8686
2025-11-21,3227
2025-11-22,10519
2025-11-23,23515
2025-11-24,2672
2025-11-25,10578
2025-11-26,11568
2025-11-27,14944
2025-11-28,1541
2025-11-29,4828
2025-11-30,16236
2025-12-01,6142
2025-12-02,8836
2025-12-03,10881
2025-12-04,9470
2025-12-05,2844
2025-12-06,8114
2025-12-07,12325
2025-12-08,724
