datetime,date,time,hour,day_of_week,temperature_celsius,rain_mm,cloud_cover_percent,wind_speed_kmh
2025-10-27 00:00:00,2025-10-27,00:00:00,0,Monday,6.9,0.0,0,5.6
2025-10-27 01:00:00,2025-10-27,01:00:00,1,Monday,5.8,0.0,0,5.4
2025-10-27 02:00:00,2025-10-27,02:00:00,2,Monday,5.2,0.0,0,6.1
2025-10-27 03:00:00,2025-10-27,03:00:00,3,Monday,5.2,0.0,0,8.3
2025-10-27 04:00:00,2025-10-27,04:00:00,4,Monday,4.8,0.0,0,8.6
2025-10-27 05:00:00,2025-10-27,05:00:00,5,Monday,4.0,0.0,0,6.3
2025-10-27 06:00:00,2025-10-27,06:00:00,6,Monday,3.3,0.0,0,5.7
2025-10-27 07:00:00,2025-10-27,07:00:00,7,Monday,3.7,0.0,0,7.9
2025-10-27 08:00:00,2025-10-27,08:00:00,8,Monday,4.7,0.0,0,7.2
2025-10-27 09:00:00,2025-10-27,09:00:00,9,Monday,6.8,0.0,0,6.9
2025-10-27 10:00:00,2025-10-27,10:00:00,10,Monday,9.2,0.0,0,6.9
2025-10-27 11:00:00,2025-10-27,11:00:00,11,Monday,11.0,0.0,0,7.6
2025-10-27 12:00:00,2025-10-27,12:00:00,12,Monday,12.0,0.0,0,7.5
2025-10-27 13:00:00,2025-10-27,13:00:00,13,Monday,12.6,0.0,0,7.6
2025-10-27 14:00:00,2025-10-27,14:00:00,14,Monday,12.8,0.0,0,8.1
2025-10-27 15:00:00,2025-10-27,15:00:00,15,Monday,12.5,0.0,0,9.2
2025-10-27 16:00:00,2025-10-27,16:00:00,16,Monday,11.8,0.0,0,9.9
2025-10-27 17:00:00,2025-10-27,17:00:00,17,Monday,9.9,0.0,0,4.9
2025-10-27 18:00:00,2025-10-27,18:00:00,18,Monday,8.8,0.0,0,3.8
2025-10-27 19:00:00,2025-10-27,19:00:00,19,Monday,8.6,0.0,0,5.8
2025-10-27 20:00:00,2025-10-27,20:00:00,20,Monday,8.3,0.0,16,11.7
2025-10-27 21:00:00,2025-10-27,21:00:00,21,Monday,7.2,0.0,15,9.3
2025-10-27 22:00:00,2025-10-27,22:00:00,22,Monday,6.6,0.0,20,7.3
2025-10-27 23:00:00,2025-10-27,23:00:00,23,Monday,6.1,0.0,9,8.7
2025-10-28 00:00:00,2025-10-28,00:00:00,0,Tuesday,5.8,0.0,10,8.8
2025-10-28 01:00:00,2025-10-28,01:00:00,1,Tuesday,5.7,0.0,16,10.0
2025-10-28 02:00:00,2025-10-28,02:00:00,2,Tuesday,5.4,0.0,23,9.2
2025-10-28 03:00:00,2025-10-28,03:00:00,3,Tuesday,5.0,0.0,4,9.6
2025-10-28 04:00:00,2025-10-28,04:00:00,4,Tuesday,4.7,0.0,0,9.5
2025-10-28 05:00:00,2025-10-28,05:00:00,5,Tuesday,4.4,0.0,0,10.8
2025-10-28 06:00:00,2025-10-28,06:00:00,6,Tuesday,4.1,0.0,0,10.9
2025-10-28 07:00:00,2025-10-28,07:00:00,7,Tuesday,4.5,0.0,0,10.7
2025-10-28 08:00:00,2025-10-28,08:00:00,8,Tuesday,5.9,0.0,100,9.7
2025-10-28 09:00:00,2025-10-28,09:00:00,9,Tuesday,7.9,0.0,100,10.9
2025-10-28 10:00:00,2025-10-28,10:00:00,10,Tuesday,10.0,0.0,93,13.9
2025-10-28 11:00:00,2025-10-28,11:00:00,11,Tuesday,11.7,0.0,100,21.7
2025-10-28 12:00:00,2025-10-28,12:00:00,12,Tuesday,11.7,0.0,100,19.8
2025-10-28 13:00:00,2025-10-28,13:00:00,13,Tuesday,11.5,0.0,100,20.4
2025-10-28 14:00:00,2025-10-28,14:00:00,14,Tuesday,11.7,0.0,100,17.4
2025-10-28 15:00:00,2025-10-28,15:00:00,15,Tuesday,12.0,0.0,100,16.0
2025-10-28 16:00:00,2025-10-28,16:00:00,16,Tuesday,12.2,0.0,100,11.7
2025-10-28 17:00:00,2025-10-28,17:00:00,17,Tuesday,11.7,0.0,100,8.4
2025-10-28 18:00:00,2025-10-28,18:00:00,18,Tuesday,11.7,0.0,100,12.3
2025-10-28 19:00:00,2025-10-28,19:00:00,19,Tuesday,11.5,0.0,100,11.5
2025-10-28 20:00:00,2025-10-28,20:00:00,20,Tuesday,11.1,0.0,100,12.9
2025-10-28 21:00:00,2025-10-28,21:00:00,21,Tuesday,10.5,0.0,96,14.3
2025-10-28 22:00:00,2025-10-28,22:00:00,22,Tuesday,10.0,0.0,97,14.9
2025-10-28 23:00:00,2025-10-28,23:00:00,23,Tuesday,9.6,0.0,96,16.7
2025-10-29 00:00:00,2025-10-29,00:00:00,0,Wednesday,9.1,0.0,86,16.1
2025-10-29 01:00:00,2025-10-29,01:00:00,1,Wednesday,9.1,0.0,30,14.4
2025-10-29 02:00:00,2025-10-29,02:00:00,2,Wednesday,8.5,0.0,36,14.0
2025-10-29 03:00:00,2025-10-29,03:00:00,3,Wednesday,8.0,0.0,38,13.2
2025-10-29 04:00:00,2025-10-29,04:00:00,4,Wednesday,7.8,0.0,100,12.5
2025-10-29 05:00:00,2025-10-29,05:00:00,5,Wednesday,7.7,0.0,29,13.3
2025-10-29 06:00:00,2025-10-29,06:00:00,6,Wednesday,7.7,0.0,7,13.5
2025-10-29 07:00:00,2025-10-29,07:00:00,7,Wednesday,7.0,0.0,100,11.3
2025-10-29 08:00:00,2025-10-29,08:00:00,8,Wednesday,8.3,0.0,93,9.2
2025-10-29 09:00:00,2025-10-29,09:00:00,9,Wednesday,10.0,0.0,100,11.7
2025-10-29 10:00:00,2025-10-29,10:00:00,10,Wednesday,11.8,0.0,100,11.6
2025-10-29 11:00:00,2025-10-29,11:00:00,11,Wednesday,13.0,0.0,100,10.9
2025-10-29 12:00:00,2025-10-29,12:00:00,12,Wednesday,13.5,0.0,100,10.9
2025-10-29 13:00:00,2025-10-29,13:00:00,13,Wednesday,12.6,0.0,100,10.7
2025-10-29 14:00:00,2025-10-29,14:00:00,14,Wednesday,12.5,0.0,100,10.6
2025-10-29 15:00:00,2025-10-29,15:00:00,15,Wednesday,12.2,0.0,77,11.8
