Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T10:59:00.000Z,googleapis.com,Google,7.997,18.981
2025-11-18T10:59:00.000Z,whatsapp.net,Facebook,0.052,0.104
2025-11-18T10:58:00.000Z,googleapis.com,Google,8.431,25.393
2025-11-18T10:58:00.000Z,whatsapp.net,Facebook,1.133,0.959
2025-11-18T10:57:00.000Z,,,0,0.145
2025-11-18T10:57:00.000Z,google.com,Google,0.417,0.219
2025-11-18T10:57:00.000Z,googleapis.com,Google,15.271,25.01
2025-11-18T10:57:00.000Z,whatsapp.net,Facebook,110.336,13.51
2025-11-18T10:56:00.000Z,,,0,0.073
2025-11-18T10:56:00.000Z,whatsapp.com,Facebook,0.128,0.104
2025-11-18T10:56:00.000Z,googleapis.com,Google,8.102,19.252
2025-11-18T10:56:00.000Z,whatsapp.net,Facebook,4.962,6.998
