datetime,heart_rate,stress_level,body_battery
2025-11-18T05:00:00.000Z,,,
2025-11-18T05:00:00.000Z,,,
2025-11-18T05:01:00.000Z,,,
2025-11-18T05:01:00.000Z,,34,18
2025-11-18T05:02:00.000Z,89,,
2025-11-18T05:02:00.000Z,,61,18
2025-11-18T05:03:00.000Z,99,,
2025-11-18T05:03:00.000Z,,,
2025-11-18T05:03:00.000Z,,65534,18
2025-11-18T05:04:00.000Z,93,,
2025-11-18T05:04:00.000Z,,,
2025-11-18T05:04:00.000Z,,,18
2025-11-18T05:05:00.000Z,78,,
2025-11-18T05:05:00.000Z,,,18
2025-11-18T05:06:00.000Z,77,,
2025-11-18T05:06:00.000Z,,,
2025-11-18T05:06:00.000Z,,22,18
2025-11-18T05:07:00.000Z,73,,
2025-11-18T05:07:00.000Z,,,
2025-11-18T05:07:00.000Z,,23,18
2025-11-18T05:08:00.000Z,74,,
2025-11-18T05:08:00.000Z,,20,18
2025-11-18T05:09:00.000Z,,,
2025-11-18T05:09:00.000Z,,17,18
2025-11-18T05:10:00.000Z,,,
2025-11-18T05:10:00.000Z,,22,18
2025-11-18T05:11:00.000Z,75,,
2025-11-18T05:11:00.000Z,,,
2025-11-18T05:11:00.000Z,,25,18
2025-11-18T05:12:00.000Z,74,,
2025-11-18T05:12:00.000Z,,22,18
2025-11-18T05:13:00.000Z,75,,
2025-11-18T05:13:00.000Z,,,18
2025-11-18T05:14:00.000Z,79,,
2025-11-18T05:14:00.000Z,,22,18
2025-11-18T05:15:00.000Z,74,,
2025-11-18T05:15:00.000Z,,,
2025-11-18T05:15:00.000Z,,15,18
2025-11-18T05:16:00.000Z,73,,
2025-11-18T05:16:00.000Z,,,
2025-11-18T05:16:00.000Z,,21,18
2025-11-18T05:17:00.000Z,74,,
2025-11-18T05:17:00.000Z,,17,18
2025-11-18T05:18:00.000Z,79,,
2025-11-18T05:18:00.000Z,,23,18
2025-11-18T05:19:00.000Z,80,,
2025-11-18T05:19:00.000Z,,31,18
2025-11-18T05:20:00.000Z,79,,
2025-11-18T05:20:00.000Z,,25,18
2025-11-18T05:21:00.000Z,81,,
2025-11-18T05:21:00.000Z,,42,18
2025-11-18T05:22:00.000Z,83,,
2025-11-18T05:22:00.000Z,,,
2025-11-18T05:22:00.000Z,,,
2025-11-18T05:22:00.000Z,,,
2025-11-18T05:22:00.000Z,,41,18
2025-11-18T05:22:00.000Z,,,
2025-11-18T05:22:00.000Z,,,
2025-11-18T05:23:00.000Z,,45,18
2025-11-18T05:24:00.000Z,87,,
2025-11-18T05:24:00.000Z,,40,18
2025-11-18T05:25:00.000Z,,36,18
2025-11-18T05:26:00.000Z,86,,
2025-11-18T05:26:00.000Z,,46,18
2025-11-18T05:27:00.000Z,84,,
2025-11-18T05:27:00.000Z,,28,18
2025-11-18T05:28:00.000Z,87,,
2025-11-18T05:28:00.000Z,,42,18
2025-11-18T05:29:00.000Z,89,,
2025-11-18T05:29:00.000Z,,51,18
2025-11-18T05:30:00.000Z,84,,
2025-11-18T05:30:00.000Z,,57,17
2025-11-18T05:31:00.000Z,,61,17
2025-11-18T05:32:00.000Z,85,,
2025-11-18T05:32:00.000Z,,48,17
2025-11-18T05:33:00.000Z,87,,
2025-11-18T05:33:00.000Z,,63,17
2025-11-18T05:34:00.000Z,,67,17
2025-11-18T05:35:00.000Z,88,,
2025-11-18T05:35:00.000Z,,62,17
2025-11-18T05:36:00.000Z,84,,
2025-11-18T05:36:00.000Z,,55,17
2025-11-18T05:37:00.000Z,80,,
2025-11-18T05:37:00.000Z,,,
2025-11-18T05:37:00.000Z,,36,17
2025-11-18T05:38:00.000Z,,,
2025-11-18T05:38:00.000Z,,36,17
2025-11-18T05:39:00.000Z,,49,17
2025-11-18T05:40:00.000Z,84,,
2025-11-18T05:40:00.000Z,,43,17
2025-11-18T05:41:00.000Z,82,,
2025-11-18T05:41:00.000Z,,30,17
2025-11-18T05:42:00.000Z,78,,
2025-11-18T05:42:00.000Z,,20,17
2025-11-18T05:43:00.000Z,,19,17
2025-11-18T05:44:00.000Z,80,,
2025-11-18T05:44:00.000Z,,36,17
2025-11-18T05:45:00.000Z,,27,17
2025-11-18T05:46:00.000Z,78,,
2025-11-18T05:46:00.000Z,,28,17
2025-11-18T05:47:00.000Z,80,,
2025-11-18T05:47:00.000Z,,30,17
2025-11-18T05:48:00.000Z,82,,
2025-11-18T05:48:00.000Z,,56,17
2025-11-18T05:49:00.000Z,83,,
2025-11-18T05:49:00.000Z,,49,17
2025-11-18T05:50:00.000Z,80,,
2025-11-18T05:50:00.000Z,,30,17
2025-11-18T05:51:00.000Z,81,,
2025-11-18T05:51:00.000Z,,44,17
2025-11-18T05:52:00.000Z,82,,
2025-11-18T05:52:00.000Z,,36,17
2025-11-18T05:53:00.000Z,84,,
2025-11-18T05:53:00.000Z,,45,17
2025-11-18T05:54:00.000Z,,43,17
2025-11-18T05:55:00.000Z,82,,
2025-11-18T05:55:00.000Z,,44,17
2025-11-18T05:56:00.000Z,,49,17
2025-11-18T05:57:00.000Z,83,,
2025-11-18T05:57:00.000Z,,42,17
2025-11-18T05:58:00.000Z,85,,
2025-11-18T05:58:00.000Z,,65,16
2025-11-18T05:59:00.000Z,,67,16
2025-11-18T06:00:00.000Z,,54,16
2025-11-18T06:01:00.000Z,81,,
2025-11-18T06:01:00.000Z,,,
2025-11-18T06:01:00.000Z,,28,16
2025-11-18T06:02:00.000Z,87,,
2025-11-18T06:02:00.000Z,,54,16
2025-11-18T06:03:00.000Z,83,,
2025-11-18T06:03:00.000Z,,40,16
2025-11-18T06:04:00.000Z,82,,
2025-11-18T06:04:00.000Z,,40,16
2025-11-18T06:05:00.000Z,81,,
2025-11-18T06:05:00.000Z,,43,16
2025-11-18T06:06:00.000Z,80,,
2025-11-18T06:06:00.000Z,,42,16
2025-11-18T06:07:00.000Z,82,,
2025-11-18T06:07:00.000Z,,33,16
2025-11-18T06:08:00.000Z,78,,
2025-11-18T06:08:00.000Z,,21,16
2025-11-18T06:09:00.000Z,77,,
2025-11-18T06:09:00.000Z,,24,16
2025-11-18T06:10:00.000Z,79,,
2025-11-18T06:10:00.000Z,,29,16
2025-11-18T06:11:00.000Z,,29,16
2025-11-18T06:12:00.000Z,83,,
2025-11-18T06:12:00.000Z,,42,16
2025-11-18T06:13:00.000Z,80,,
2025-11-18T06:13:00.000Z,,42,16
2025-11-18T06:14:00.000Z,79,,
2025-11-18T06:14:00.000Z,,39,16
2025-11-18T06:15:00.000Z,,27,16
2025-11-18T06:16:00.000Z,78,,
2025-11-18T06:16:00.000Z,,38,16
2025-11-18T06:17:00.000Z,79,,
2025-11-18T06:17:00.000Z,,31,16
2025-11-18T06:18:00.000Z,78,,
2025-11-18T06:18:00.000Z,,25,16
2025-11-18T06:19:00.000Z,79,,
2025-11-18T06:19:00.000Z,,39,16
2025-11-18T06:20:00.000Z,80,,
2025-11-18T06:20:00.000Z,,36,16
2025-11-18T06:21:00.000Z,78,,
2025-11-18T06:21:00.000Z,,33,16
2025-11-18T06:22:00.000Z,80,,
2025-11-18T06:22:00.000Z,,,
2025-11-18T06:22:00.000Z,,42,16
2025-11-18T06:23:00.000Z,83,,
2025-11-18T06:23:00.000Z,,,
2025-11-18T06:23:00.000Z,,51,16
2025-11-18T06:24:00.000Z,81,,
2025-11-18T06:24:00.000Z,,44,16
2025-11-18T06:25:00.000Z,80,,
2025-11-18T06:25:00.000Z,,28,16
2025-11-18T06:26:00.000Z,81,,
2025-11-18T06:26:00.000Z,,35,16
2025-11-18T06:27:00.000Z,83,,
2025-11-18T06:27:00.000Z,,31,16
2025-11-18T06:28:00.000Z,81,,
2025-11-18T06:28:00.000Z,,27,16
2025-11-18T06:29:00.000Z,84,,
2025-11-18T06:29:00.000Z,,32,16
2025-11-18T06:30:00.000Z,83,,
2025-11-18T06:30:00.000Z,,39,15
2025-11-18T06:31:00.000Z,85,,
2025-11-18T06:31:00.000Z,,30,15
2025-11-18T06:32:00.000Z,87,,
2025-11-18T06:32:00.000Z,,55,15
2025-11-18T06:33:00.000Z,89,,
2025-11-18T06:33:00.000Z,,36,15
2025-11-18T06:34:00.000Z,79,,
2025-11-18T06:34:00.000Z,,36,15
2025-11-18T06:35:00.000Z,84,,
2025-11-18T06:35:00.000Z,,48,15
2025-11-18T06:36:00.000Z,79,,
2025-11-18T06:36:00.000Z,,30,15
2025-11-18T06:37:00.000Z,,33,15
2025-11-18T06:38:00.000Z,78,,
2025-11-18T06:38:00.000Z,,33,15
2025-11-18T06:39:00.000Z,80,,
2025-11-18T06:39:00.000Z,,38,15
2025-11-18T06:40:00.000Z,85,,
2025-11-18T06:40:00.000Z,,34,15
2025-11-18T06:41:00.000Z,79,,
2025-11-18T06:41:00.000Z,,21,15
2025-11-18T06:42:00.000Z,76,,
2025-11-18T06:42:00.000Z,,24,15
2025-11-18T06:43:00.000Z,77,,
2025-11-18T06:43:00.000Z,,,
2025-11-18T06:43:00.000Z,,23,15
2025-11-18T06:44:00.000Z,81,,
2025-11-18T06:44:00.000Z,,65534,15
2025-11-18T06:45:00.000Z,97,,
2025-11-18T06:45:00.000Z,,,
2025-11-18T06:45:00.000Z,,65534,15
2025-11-18T06:46:00.000Z,92,,
2025-11-18T06:46:00.000Z,,,
2025-11-18T06:46:00.000Z,,65534,15
2025-11-18T06:47:00.000Z,82,,
2025-11-18T06:47:00.000Z,,,
2025-11-18T06:47:00.000Z,,55,15
2025-11-18T06:48:00.000Z,80,,
2025-11-18T06:48:00.000Z,,65534,15
2025-11-18T06:49:00.000Z,87,,
2025-11-18T06:49:00.000Z,,,
2025-11-18T06:49:00.000Z,,65534,15
2025-11-18T06:50:00.000Z,,44,15
2025-11-18T06:51:00.000Z,84,,
2025-11-18T06:51:00.000Z,,33,15
2025-11-18T06:52:00.000Z,85,,
2025-11-18T06:52:00.000Z,,,
2025-11-18T06:52:00.000Z,,36,15
2025-11-18T06:53:00.000Z,90,,
2025-11-18T06:53:00.000Z,,,
2025-11-18T06:53:00.000Z,,72,15
2025-11-18T06:54:00.000Z,91,,
2025-11-18T06:54:00.000Z,,,
2025-11-18T06:54:00.000Z,,72,14
2025-11-18T06:55:00.000Z,87,,
2025-11-18T06:55:00.000Z,,65534,14
2025-11-18T06:56:00.000Z,100,,
2025-11-18T06:56:00.000Z,,65534,14
2025-11-18T06:57:00.000Z,91,,
2025-11-18T06:57:00.000Z,,,
2025-11-18T06:57:00.000Z,,61,14
2025-11-18T06:58:00.000Z,92,,
2025-11-18T06:58:00.000Z,,55,14
2025-11-18T06:59:00.000Z,87,,
2025-11-18T06:59:00.000Z,,,
2025-11-18T06:59:00.000Z,,65534,14
2025-11-18T07:00:00.000Z,,,
2025-11-18T07:00:00.000Z,,65534,14
2025-11-18T07:01:00.000Z,88,,
