active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16,vigorous_activity_inutes
31,1.0089348943138683e-39,"generic",,0,0,617,,2025-11-08T15:17:00.000Z,,
91,3.7414668997472616e-39,"walking",,2.612020337501459e-42,2.1392642745921956e-43,617,,2025-11-08T15:17:00.000Z,,
,,,,,,,,2025-11-08T15:17:00.000Z,,
,,,,,,,72,2025-11-08T15:18:00.000Z,4904,
,,,,,,,76,2025-11-08T15:19:00.000Z,4964,
,,,72,,,,,2025-11-08T15:22:00.000Z,,
,,,,,,,77,2025-11-08T15:23:00.000Z,5204,
,,,,,,,76,2025-11-08T15:24:00.000Z,5264,
,,,8,,,,,2025-11-08T15:24:00.000Z,,
,,,,,,,74,2025-11-08T15:25:00.000Z,5324,
,,,,,,,75,2025-11-08T15:26:00.000Z,5384,
,,,104,,,,,2025-11-08T15:26:00.000Z,,
,,,,,,,73,2025-11-08T15:27:00.000Z,5444,
,,,8,,,,,2025-11-08T15:27:00.000Z,,
,,,,,,,74,2025-11-08T15:28:00.000Z,5504,
,,,,,,,76,2025-11-08T15:31:00.000Z,5684,
,,,,,,,75,2025-11-08T15:32:00.000Z,5744,
,,,,,,,74,2025-11-08T15:34:00.000Z,5864,
,,,104,,,,,2025-11-08T15:34:00.000Z,,
,,,,,,,76,2025-11-08T15:35:00.000Z,5924,
,,,,,,,86,2025-11-08T15:36:00.000Z,5984,
93,3.9096227154662396e-39,,70,2.6456515006452546e-42,,,,2025-11-08T15:36:00.000Z,5984,
,,,,,,,87,2025-11-08T15:37:00.000Z,6044,
,,,40,,,,,2025-11-08T15:37:00.000Z,,
,,,,,,,89,2025-11-08T15:38:00.000Z,6104,
,,,,,,,88,2025-11-08T15:39:00.000Z,6164,
,,,8,,,,,2025-11-08T15:39:00.000Z,,
,,,104,,,,,2025-11-08T15:40:00.000Z,,
,,,,,,,89,2025-11-08T15:41:00.000Z,6284,
,,,,,,,87,2025-11-08T15:42:00.000Z,6344,
,,,8,,,,,2025-11-08T15:43:00.000Z,,
,,,,,,,92,2025-11-08T15:44:00.000Z,6464,
96,3.9937006233257287e-39,,38,2.658263186824178e-42,,,,2025-11-08T15:44:00.000Z,6464,
,,,,,,,86,2025-11-08T15:45:00.000Z,6524,
,,,8,,,,,2025-11-08T15:45:00.000Z,,
,,,,,,,79,2025-11-08T15:46:00.000Z,6584,
,,,72,,,,,2025-11-08T15:46:00.000Z,,
,,,,,,,76,2025-11-08T15:47:00.000Z,6644,
,,,8,,,,,2025-11-08T15:47:00.000Z,,
,,,,,,,80,2025-11-08T15:50:00.000Z,6824,
,,,,,,,84,2025-11-08T15:51:00.000Z,6884,
,,,,,,,82,2025-11-08T15:52:00.000Z,6944,
,,,,,,,80,2025-11-08T15:53:00.000Z,7004,
,,,136,,,,,2025-11-08T15:53:00.000Z,,
,,,,,,,86,2025-11-08T15:54:00.000Z,7064,
98,4.077778531185218e-39,,70,2.6778813653247254e-42,,,,2025-11-08T15:54:00.000Z,7064,
,,,,,,,104,2025-11-08T15:55:00.000Z,7124,
34,1.0930128021733573e-39,,192,0,,,,2025-11-08T15:55:00.000Z,7124,
,,,,,,,103,2025-11-08T15:56:00.000Z,7184,
,,,,,,,88,2025-11-08T15:57:00.000Z,7244,
,,,,,,,87,2025-11-08T15:58:00.000Z,7304,
,,,,,,,86,2025-11-08T16:00:00.000Z,7424,
,,,,,,,87,2025-11-08T16:01:00.000Z,7484,
,,,,,,,88,2025-11-08T16:02:00.000Z,7544,
,,,,,,,96,2025-11-08T16:03:00.000Z,7604,
,,,,,,,93,2025-11-08T16:04:00.000Z,7664,
,,,104,,,,,2025-11-08T16:04:00.000Z,,
,,,,,,,90,2025-11-08T16:05:00.000Z,7724,
,,,104,,,,,2025-11-08T16:05:00.000Z,,
,,,8,,,,,2025-11-08T16:06:00.000Z,,
,,,,,,,92,2025-11-08T16:08:00.000Z,7904,
,,,,,,,91,2025-11-08T16:09:00.000Z,7964,
,,,,,,,95,2025-11-08T16:11:00.000Z,8084,
,,,104,,,,,2025-11-08T16:11:00.000Z,,
,,,,,,,94,2025-11-08T16:12:00.000Z,8144,
100,4.161856439044707e-39,,102,2.733933303897718e-42,,,,2025-11-08T16:12:00.000Z,8144,
,,,,,,,102,2025-11-08T16:13:00.000Z,8204,
,,,,,,,95,2025-11-08T16:14:00.000Z,8264,
,,,136,,,,,2025-11-08T16:14:00.000Z,,
,,,,,,,101,2025-11-08T16:15:00.000Z,8324,
36,1.1770907100328463e-39,,160,0,,,,2025-11-08T16:15:00.000Z,8324,
,,,,,,,111,2025-11-08T16:16:00.000Z,8384,
,,,,,,,125,2025-11-08T16:17:00.000Z,8444,
108,4.330012254763685e-39,,70,2.7675644670415137e-42,,,,2025-11-08T16:17:00.000Z,8444,
,,,,,,,115,2025-11-08T16:18:00.000Z,8504,
,,,,,,,112,2025-11-08T16:20:00.000Z,8624,
,,,,,,,111,2025-11-08T16:21:00.000Z,8684,
48,1.5134023414708024e-39,,128,0,,,,2025-11-08T16:21:00.000Z,8684,
,,,,,,,109,2025-11-08T16:22:00.000Z,8744,
,,,,,,,118,2025-11-08T16:23:00.000Z,8804,
115,4.498168070482663e-39,,134,2.8306228979361305e-42,,,,2025-11-08T16:23:00.000Z,8804,
,,,,,,,107,2025-11-08T16:24:00.000Z,8864,
50,1.5974802493302915e-39,,192,0,,,,2025-11-08T16:24:00.000Z,8864,
,,,,,,,110,2025-11-08T16:25:00.000Z,8924,
,,,,,,,108,2025-11-08T16:26:00.000Z,8984,
119,4.666323886201641e-39,,102,2.91189820886697e-42,,,,2025-11-08T16:26:00.000Z,8984,
,,,,,,,90,2025-11-08T16:27:00.000Z,9044,
,,,104,,,,,2025-11-08T16:27:00.000Z,,
,,,,,,,92,2025-11-08T16:28:00.000Z,9104,
120,4.75040179406113e-39,,134,2.932917685831842e-42,,,,2025-11-08T16:28:00.000Z,9104,
,,,,,,,96,2025-11-08T16:29:00.000Z,9164,
,,,72,,,,,2025-11-08T16:29:00.000Z,,
,,,,,,,106,2025-11-08T16:30:00.000Z,9224,
53,1.6815581571897805e-39,,0,0,,,,2025-11-08T16:30:00.000Z,9224,
,,,,,,,95,2025-11-08T16:31:00.000Z,9284,
,,,,,,,92,2025-11-08T16:32:00.000Z,9344,
,,,,,,,89,2025-11-08T16:33:00.000Z,9404,
,,,,,,,90,2025-11-08T16:34:00.000Z,9464,
,,,,,,,91,2025-11-08T16:35:00.000Z,9524,
,,,72,,,,,2025-11-08T16:35:00.000Z,,
,,,,,,,90,2025-11-08T16:36:00.000Z,9584,
,,,,,,,94,2025-11-08T16:37:00.000Z,9644,
,,,8,,,,,2025-11-08T16:37:00.000Z,,
,,,,,,,92,2025-11-08T16:38:00.000Z,9704,
,,,,,,,90,2025-11-08T16:39:00.000Z,9764,
,,,,,,,100,2025-11-08T16:40:00.000Z,9824,
,,,,,,,98,2025-11-08T16:41:00.000Z,9884,
,,,,,,,89,2025-11-08T16:42:00.000Z,9944,
,,,136,,,,,2025-11-08T16:43:00.000Z,,
,,,,,,,87,2025-11-08T16:45:00.000Z,10124,
,,,8,,,,,2025-11-08T16:46:00.000Z,,
,,,,,,,86,2025-11-08T16:47:00.000Z,10244,
,,,,,,,87,2025-11-08T16:48:00.000Z,10304,
,,,,,,,97,2025-11-08T16:50:00.000Z,10424,
,,,104,,,,,2025-11-08T16:50:00.000Z,,
,,,,,,,87,2025-11-08T16:51:00.000Z,10484,
,,,,,,,83,2025-11-08T16:52:00.000Z,10544,
,,,8,,,,,2025-11-08T16:52:00.000Z,,
,,,72,,,,,2025-11-08T16:53:00.000Z,,
,,,,,,,82,2025-11-08T16:54:00.000Z,10664,
,,,,,,,84,2025-11-08T16:55:00.000Z,10724,
,,,,,,,86,2025-11-08T16:56:00.000Z,10784,
,,,8,,,,,2025-11-08T16:56:00.000Z,,
,,,,,,,91,2025-11-08T16:57:00.000Z,10844,
,,,,,,,88,2025-11-08T16:58:00.000Z,10904,
,,,136,,,,,2025-11-08T16:58:00.000Z,,
,,,,,,,83,2025-11-08T16:59:00.000Z,10964,
,,,8,,,,,2025-11-08T17:00:00.000Z,,
,,,,,,,82,2025-11-08T17:01:00.000Z,11084,
,,,,,,,84,2025-11-08T17:02:00.000Z,11144,
,,,,,,,82,2025-11-08T17:03:00.000Z,11204,
,,,104,,,,,2025-11-08T17:03:00.000Z,,
,,,,,,,81,2025-11-08T17:04:00.000Z,11264,
,,,8,,,,,2025-11-08T17:04:00.000Z,,
,,,,,,,82,2025-11-08T17:05:00.000Z,11324,
,,,,,,,83,2025-11-08T17:06:00.000Z,11384,
,,,,,,,81,2025-11-08T17:07:00.000Z,11444,
,,,,,,,82,2025-11-08T17:08:00.000Z,11504,
,,,,,,,79,2025-11-08T17:10:00.000Z,11624,
,,,,,,,81,2025-11-08T17:12:00.000Z,11744,
,,,104,,,,,2025-11-08T17:12:00.000Z,,
,,,,,,,86,2025-11-08T17:13:00.000Z,11804,
122,4.834479701920619e-39,,6,2.941325476617791e-42,,,,2025-11-08T17:13:00.000Z,11804,
,,,,,,,92,2025-11-08T17:14:00.000Z,11864,
,,,,,,,83,2025-11-08T17:15:00.000Z,11924,
,,,,,,,81,2025-11-08T17:16:00.000Z,11984,
,,,,,,,80,2025-11-08T17:17:00.000Z,12044,
,,,104,,,,,2025-11-08T17:17:00.000Z,,
,,,,,,,87,2025-11-08T17:18:00.000Z,12104,
,,,,,,,106,2025-11-08T17:19:00.000Z,12164,
,,,,,,,108,2025-11-08T17:20:00.000Z,12224,
130,5.086713425499086e-39,,70,3.012791698298357e-42,,,,2025-11-08T17:20:00.000Z,12224,
,,,,,,,107,2025-11-08T17:21:00.000Z,12284,
,,,,,,,92,2025-11-08T17:22:00.000Z,12344,
,,,,,,,91,2025-11-08T17:23:00.000Z,12404,
,,,,,,,86,2025-11-08T17:24:00.000Z,12464,
