body_battery,field_four,field_two,stress_level_time,stress_level_value
56,1,220,2025-11-12T22:24:00.000Z,52
56,1,187,2025-11-12T22:25:00.000Z,77
56,1,191,2025-11-12T22:26:00.000Z,74
56,1,220,2025-11-12T22:27:00.000Z,52
56,1,196,2025-11-12T22:28:00.000Z,70
56,1,199,2025-11-12T22:29:00.000Z,68
55,1,203,2025-11-12T22:30:00.000Z,65
55,1,202,2025-11-12T22:31:00.000Z,66
55,1,225,2025-11-12T22:32:00.000Z,48
55,1,228,2025-11-12T22:33:00.000Z,46
55,1,221,2025-11-12T22:34:00.000Z,51
55,1,217,2025-11-12T22:35:00.000Z,54
55,1,243,2025-11-12T22:36:00.000Z,35
55,1,4,2025-11-12T22:37:00.000Z,24
55,1,5,2025-11-12T22:38:00.000Z,24
54,1,240,2025-11-12T22:39:00.000Z,37
54,1,237,2025-11-12T22:40:00.000Z,39
54,1,221,2025-11-12T22:41:00.000Z,51
54,1,247,2025-11-12T22:42:00.000Z,32
54,1,224,2025-11-12T22:43:00.000Z,49
54,1,240,2025-11-12T22:44:00.000Z,37
54,1,238,2025-11-12T22:45:00.000Z,39
54,1,198,2025-11-12T22:46:00.000Z,69
54,1,243,2025-11-12T22:47:00.000Z,35
54,1,238,2025-11-12T22:48:00.000Z,39
54,1,219,2025-11-12T22:49:00.000Z,53
54,1,238,2025-11-12T22:50:00.000Z,39
54,1,230,2025-11-12T22:51:00.000Z,45
54,1,237,2025-11-12T22:52:00.000Z,39
54,1,248,2025-11-12T22:53:00.000Z,31
54,1,240,2025-11-12T22:54:00.000Z,37
54,1,245,2025-11-12T22:55:00.000Z,33
53,1,247,2025-11-12T22:56:00.000Z,32
53,1,244,2025-11-12T22:57:00.000Z,34
53,1,242,2025-11-12T22:58:00.000Z,36
53,1,228,2025-11-12T22:59:00.000Z,46
53,1,238,2025-11-12T23:00:00.000Z,39
53,1,0,2025-11-12T23:01:00.000Z,25
53,1,251,2025-11-12T23:02:00.000Z,29
53,1,243,2025-11-12T23:03:00.000Z,35
53,1,239,2025-11-12T23:04:00.000Z,38
53,1,237,2025-11-12T23:05:00.000Z,39
53,1,250,2025-11-12T23:06:00.000Z,30
53,1,241,2025-11-12T23:07:00.000Z,36
53,1,255,2025-11-12T23:08:00.000Z,26
53,1,224,2025-11-12T23:09:00.000Z,49
53,1,203,2025-11-12T23:10:00.000Z,65
53,1,219,2025-11-12T23:11:00.000Z,53
53,1,192,2025-11-12T23:12:00.000Z,73
52,1,197,2025-11-12T23:13:00.000Z,69
52,1,187,2025-11-12T23:14:00.000Z,77
52,1,178,2025-11-12T23:15:00.000Z,84
52,1,162,2025-11-12T23:16:00.000Z,96
