current_activity_type_intensity,heart_rate,timestamp,timestamp16
,,2025-11-13T05:00:00.000Z,
8,,2025-11-13T05:00:00.000Z,
,77,2025-11-13T05:01:00.000Z,6668
8,,2025-11-13T05:01:00.000Z,
,78,2025-11-13T05:03:00.000Z,6788
,77,2025-11-13T05:04:00.000Z,6848
,79,2025-11-13T05:05:00.000Z,6908
,77,2025-11-13T05:06:00.000Z,6968
,79,2025-11-13T05:08:00.000Z,7088
,83,2025-11-13T05:09:00.000Z,7148
,78,2025-11-13T05:10:00.000Z,7208
,77,2025-11-13T05:11:00.000Z,7268
,78,2025-11-13T05:13:00.000Z,7388
,76,2025-11-13T05:15:00.000Z,7508
,80,2025-11-13T05:17:00.000Z,7628
,76,2025-11-13T05:18:00.000Z,7688
,78,2025-11-13T05:19:00.000Z,7748
,76,2025-11-13T05:20:00.000Z,7808
,77,2025-11-13T05:21:00.000Z,7868
,78,2025-11-13T05:22:00.000Z,7928
,80,2025-11-13T05:26:00.000Z,8168
,78,2025-11-13T05:27:00.000Z,8228
,76,2025-11-13T05:28:00.000Z,8288
,78,2025-11-13T05:29:00.000Z,8348
,76,2025-11-13T05:30:00.000Z,8408
,78,2025-11-13T05:31:00.000Z,8468
,77,2025-11-13T05:32:00.000Z,8528
,78,2025-11-13T05:33:00.000Z,8588
,76,2025-11-13T05:34:00.000Z,8648
,77,2025-11-13T05:35:00.000Z,8708
,78,2025-11-13T05:36:00.000Z,8768
,76,2025-11-13T05:37:00.000Z,8828
,77,2025-11-13T05:38:00.000Z,8888
,81,2025-11-13T05:40:00.000Z,9008
,82,2025-11-13T05:41:00.000Z,9068
,74,2025-11-13T05:42:00.000Z,9128
,75,2025-11-13T05:43:00.000Z,9188
,76,2025-11-13T05:44:00.000Z,9248
,75,2025-11-13T05:45:00.000Z,9308
104,,2025-11-13T05:45:00.000Z,
,79,2025-11-13T05:46:00.000Z,9368
8,,2025-11-13T05:46:00.000Z,
,83,2025-11-13T05:47:00.000Z,9428
,79,2025-11-13T05:48:00.000Z,9488
,76,2025-11-13T05:49:00.000Z,9548
,78,2025-11-13T05:50:00.000Z,9608
,74,2025-11-13T05:51:00.000Z,9668
,76,2025-11-13T05:52:00.000Z,9728
,74,2025-11-13T05:53:00.000Z,9788
,76,2025-11-13T05:54:00.000Z,9848
,75,2025-11-13T05:56:00.000Z,9968
,74,2025-11-13T05:57:00.000Z,10028
,75,2025-11-13T05:58:00.000Z,10088
104,,2025-11-13T05:58:00.000Z,
8,,2025-11-13T05:59:00.000Z,
,74,2025-11-13T06:01:00.000Z,10268
104,,2025-11-13T06:01:00.000Z,
,73,2025-11-13T06:02:00.000Z,10328
,74,2025-11-13T06:03:00.000Z,10388
,73,2025-11-13T06:05:00.000Z,10508
,75,2025-11-13T06:06:00.000Z,10568
,74,2025-11-13T06:08:00.000Z,10688
104,,2025-11-13T06:08:00.000Z,
,75,2025-11-13T06:09:00.000Z,10748
8,,2025-11-13T06:09:00.000Z,
,76,2025-11-13T06:11:00.000Z,10868
,74,2025-11-13T06:12:00.000Z,10928
,73,2025-11-13T06:13:00.000Z,10988
,75,2025-11-13T06:14:00.000Z,11048
,76,2025-11-13T06:15:00.000Z,11108
,74,2025-11-13T06:16:00.000Z,11168
,72,2025-11-13T06:17:00.000Z,11228
,73,2025-11-13T06:18:00.000Z,11288
,76,2025-11-13T06:19:00.000Z,11348
,80,2025-11-13T06:20:00.000Z,11408
,77,2025-11-13T06:21:00.000Z,11468
,73,2025-11-13T06:22:00.000Z,11528
,74,2025-11-13T06:23:00.000Z,11588
136,,2025-11-13T06:23:00.000Z,
,,2025-11-13T06:23:00.000Z,
