data16,event,event_type,timestamp
200,,"marker",2025-11-18T08:12:00.000Z
4,,"marker",2025-11-18T08:16:00.000Z
1,,"marker",2025-11-18T08:17:00.000Z
5,,"marker",2025-11-18T08:22:00.000Z
1,,"marker",2025-11-18T08:23:00.000Z
1,,"marker",2025-11-18T08:24:00.000Z
2,,"marker",2025-11-18T08:26:00.000Z
1,,"marker",2025-11-18T08:27:00.000Z
6,,"marker",2025-11-18T08:33:00.000Z
4,,"marker",2025-11-18T08:37:00.000Z
1,,"marker",2025-11-18T08:38:00.000Z
4,,"marker",2025-11-18T08:42:00.000Z
1,,"marker",2025-11-18T08:43:00.000Z
1,,"marker",2025-11-18T08:44:00.000Z
5,,"marker",2025-11-18T08:49:00.000Z
122,,"marker",2025-11-18T10:51:00.000Z
1,,"marker",2025-11-18T10:52:00.000Z
26,,"marker",2025-11-18T11:18:00.000Z
1,,"marker",2025-11-18T11:19:00.000Z
13,,"marker",2025-11-18T11:32:00.000Z
1,,"marker",2025-11-18T11:33:00.000Z
27,,"marker",2025-11-18T12:00:00.000Z
1,,"marker",2025-11-18T12:01:00.000Z
33,,"marker",2025-11-18T12:34:00.000Z
1,,"marker",2025-11-18T12:35:00.000Z
3,,"marker",2025-11-18T12:38:00.000Z
1,,"marker",2025-11-18T12:39:00.000Z
10,,"marker",2025-11-18T12:49:00.000Z
6,,"marker",2025-11-18T12:55:00.000Z
1,,"marker",2025-11-18T12:56:00.000Z
6,,"marker",2025-11-18T13:02:00.000Z
1,,"marker",2025-11-18T13:03:00.000Z
19,,"marker",2025-11-18T13:22:00.000Z
11,,"marker",2025-11-18T13:33:00.000Z
1,,"marker",2025-11-18T13:34:00.000Z
1,,"marker",2025-11-18T13:35:00.000Z
4,,"marker",2025-11-18T13:39:00.000Z
