active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
10,5.254869241218064e-40,"generic",,0,0,1059,,2025-11-20T22:39:00.000Z,
241,9.681571090020161e-39,"walking",,8.518493364630563e-42,6.976812820149686e-43,1059,,2025-11-20T22:39:00.000Z,
,,,,,,,,2025-11-20T22:39:00.000Z,
,,,,,,,85,2025-11-20T22:40:00.000Z,19648
,,,,,,,88,2025-11-20T22:41:00.000Z,19708
,,,136,,,,,2025-11-20T22:41:00.000Z,
,,,,,,,85,2025-11-20T22:42:00.000Z,19768
,,,136,,,,,2025-11-20T22:42:00.000Z,
10,5.254869241218064e-40,"generic",,0,0,1062,,2025-11-20T22:42:00.000Z,
241,9.681571090020161e-39,"walking",,8.518493364630563e-42,6.976812820149686e-43,1062,,2025-11-20T22:42:00.000Z,
,,,,,,,,2025-11-20T22:42:00.000Z,
