active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16
8,4.203895392974451e-40,"generic",,0,0,309,,,2025-11-23T10:09:00.000Z,
26,1.7656360650492695e-39,"walking",,5.927492504093976e-43,4.854798529653329e-44,309,,,2025-11-23T10:09:00.000Z,
,,,,,,,,,2025-11-23T10:09:00.000Z,
,,,,,,,73,,2025-11-23T10:11:00.000Z,37300
,,,,,,,72,,2025-11-23T10:12:00.000Z,37360
,,,,,,,71,,2025-11-23T10:13:00.000Z,37420
,,,,,,,72,,2025-11-23T10:14:00.000Z,37480
,,,8,,,,,,2025-11-23T10:15:00.000Z,
,,,,,,,74,,2025-11-23T10:16:00.000Z,37600
,,,168,,,,,,2025-11-23T10:16:00.000Z,
,,,,,,,79,,2025-11-23T10:17:00.000Z,37660
29,1.8497139729087585e-39,,38,6.249791150888684e-43,,,,,2025-11-23T10:17:00.000Z,37660
,,,,,,,92,,2025-11-23T10:18:00.000Z,37720
,,,136,,,,,,2025-11-23T10:18:00.000Z,
,,,,,,,93,,2025-11-23T10:19:00.000Z,37780
,,,8,,,,,,2025-11-23T10:19:00.000Z,
,,,,,,,87,,2025-11-23T10:20:00.000Z,37840
,,,168,,,,,,2025-11-23T10:21:00.000Z,
,,,,,,,101,,2025-11-23T10:22:00.000Z,37960
,,,,,,,108,,2025-11-23T10:23:00.000Z,38020
35,2.0178697886277366e-39,,102,6.810310536618611e-43,,,,,2025-11-23T10:23:00.000Z,38020
,,,,,,,109,,2025-11-23T10:24:00.000Z,38080
10,5.0446744715693415e-40,,96,0,,,,,2025-11-23T10:24:00.000Z,38080
,,,,,,,104,,2025-11-23T10:25:00.000Z,38140
,,,168,,,,,,2025-11-23T10:25:00.000Z,
,,,,,,,100,,2025-11-23T10:26:00.000Z,38200
,,,,,,,107,,2025-11-23T10:27:00.000Z,38260
44,2.1860256043467146e-39,,134,8.463842724521895e-43,,,,,2025-11-23T10:27:00.000Z,38260
,,,,,,,119,,2025-11-23T10:28:00.000Z,38320
3,8.407790785948902e-41,,193,7.42688186092153e-44,,,,,2025-11-23T10:28:00.000Z,38320
,,,,,,,110,,2025-11-23T10:29:00.000Z,38380
47,2.2701035122062037e-39,,198,9.80908925027372e-43,,,,,2025-11-23T10:29:00.000Z,38380
,,,,,,,114,,2025-11-23T10:30:00.000Z,38440
6,1.6815581571897805e-40,,193,1.3872854796815689e-43,,,,,2025-11-23T10:30:00.000Z,38440
,,,,,,,109,,2025-11-23T10:31:00.000Z,38500
,,,,,,,108,,2025-11-23T10:32:00.000Z,38560
54,2.4382593279251817e-39,,102,1.0691907282798354e-42,,,,,2025-11-23T10:32:00.000Z,38560
,,,,,,,115,,2025-11-23T10:33:00.000Z,38620
12,5.885453550164232e-40,,128,0,,,,,2025-11-23T10:33:00.000Z,38620
,,,,,,,109,,2025-11-23T10:34:00.000Z,38680
56,2.5223372357846707e-39,,134,1.1392556514960763e-42,,,,,2025-11-23T10:34:00.000Z,38680
,,,,,,,100,,2025-11-23T10:35:00.000Z,38740
,,,200,,,,,,2025-11-23T10:35:00.000Z,
,,,,,,,106,,2025-11-23T10:36:00.000Z,38800
14,6.726232628759122e-40,,192,0,,,,,2025-11-23T10:36:00.000Z,38800
,,,,,,,110,,2025-11-23T10:37:00.000Z,38860
,,,,,,,113,,2025-11-23T10:38:00.000Z,38920
,,,,,,,107,,2025-11-23T10:39:00.000Z,38980
,,,,,,,101,,2025-11-23T10:40:00.000Z,39040
,,,,,,,107,,2025-11-23T10:41:00.000Z,39100
,,,,,,,109,,2025-11-23T10:42:00.000Z,39160
70,3.110882590801094e-39,,102,1.3578582119307477e-42,,,,,2025-11-23T10:43:00.000Z,39220
16,7.567011707354012e-40,,160,0,,,,,2025-11-23T10:44:00.000Z,39280
,,,,,,,103,,2025-11-23T10:45:00.000Z,39340
72,3.194960498660583e-39,,102,1.4195153443610397e-42,,,,,2025-11-23T10:45:00.000Z,39340
,,,,,,,104,,2025-11-23T10:46:00.000Z,39400
74,3.279038406520072e-39,,102,1.4741659844697076e-42,,,,,2025-11-23T10:46:00.000Z,39400
,,,,,,,110,,2025-11-23T10:47:00.000Z,39460
,,,,,,,107,,2025-11-23T10:48:00.000Z,39520
21,9.248569864543793e-40,,192,0,,,,,2025-11-23T10:48:00.000Z,39520
,,,,,,,113,,2025-11-23T10:49:00.000Z,39580
76,3.363116314379561e-39,,70,1.5274153261140506e-42,,,,,2025-11-23T10:49:00.000Z,39580
,,,,,,,106,,2025-11-23T10:50:00.000Z,39640
23,1.0089348943138683e-39,,160,0,,,,,2025-11-23T10:50:00.000Z,39640
,,,,,,,102,,2025-11-23T10:51:00.000Z,39700
,,,,,,,106,,2025-11-23T10:52:00.000Z,39760
,,,,,,,107,,2025-11-23T10:53:00.000Z,39820
,,,,,,,109,,2025-11-23T10:54:00.000Z,39880
,,,,,,,121,,2025-11-23T10:55:00.000Z,39940
,,,,,,,135,,2025-11-23T10:56:00.000Z,40000
,,,,,,,132,,2025-11-23T10:57:00.000Z,40060
,,,,,,,133,,2025-11-23T10:58:00.000Z,40120
,,,,,,,131,,2025-11-23T10:59:00.000Z,40180
,,,,,,,,4,2025-11-23T10:59:00.000Z,40180
,,,,,,,134,,2025-11-23T11:00:00.000Z,40240
123,4.203895392974451e-39,,102,2.8768657472588494e-42,,,,,2025-11-23T11:00:00.000Z,40240
,,,,,,,135,,2025-11-23T11:01:00.000Z,40300
,,,,,,,127,,2025-11-23T11:02:00.000Z,40360
136,4.456129116552918e-39,,70,3.193559200196258e-42,,,,,2025-11-23T11:03:00.000Z,40420
,,,,,,,125,,2025-11-23T11:04:00.000Z,40480
23,1.0930128021733573e-39,,32,0,,,,,2025-11-23T11:04:00.000Z,40480
,,,,,,,100,,2025-11-23T11:05:00.000Z,40540
,,,,,,,,4,2025-11-23T11:05:00.000Z,40540
,,,,,,,94,,2025-11-23T11:06:00.000Z,40600
137,4.6242849322718963e-39,,38,3.2454072433762763e-42,,,,,2025-11-23T11:06:00.000Z,40600
,,,,,,,95,,2025-11-23T11:07:00.000Z,40660
,,,,,,,93,,2025-11-23T11:08:00.000Z,40720
,,,,,,,91,,2025-11-23T11:09:00.000Z,40780
,,,,,,,92,,2025-11-23T11:10:00.000Z,40840
,,,,,,,90,,2025-11-23T11:11:00.000Z,40900
,,,,,,,88,,2025-11-23T11:12:00.000Z,40960
,,,,,,,87,,2025-11-23T11:13:00.000Z,41020
,,,104,,,,,,2025-11-23T11:13:00.000Z,
,,,,,,,89,,2025-11-23T11:14:00.000Z,41080
138,4.7924407479908744e-39,,70,3.276235809591422e-42,,,,,2025-11-23T11:15:00.000Z,41140
,,,,,,,91,,2025-11-23T11:16:00.000Z,41200
,,,,,,,87,,2025-11-23T11:17:00.000Z,41260
,,,,,,,84,,2025-11-23T11:18:00.000Z,41320
,,,72,,,,,,2025-11-23T11:18:00.000Z,
,,,8,,,,,,2025-11-23T11:19:00.000Z,
,,,,,,,83,,2025-11-23T11:20:00.000Z,41440
139,4.8765186558503634e-39,,38,3.291650092698995e-42,,,,,2025-11-23T11:20:00.000Z,41440
,,,,,,,85,,2025-11-23T11:21:00.000Z,41500
,,,,,,,86,,2025-11-23T11:22:00.000Z,41560
,,,,,,,83,,2025-11-23T11:23:00.000Z,41620
,,,104,,,,,,2025-11-23T11:23:00.000Z,
,,,,,,,82,,2025-11-23T11:24:00.000Z,41680
139,4.9605965637098524e-39,,38,3.309866972735218e-42,,,,,2025-11-23T11:24:00.000Z,41680
,,,104,,,,,,2025-11-23T11:25:00.000Z,
,,,,,,,81,,2025-11-23T11:26:00.000Z,41800
139,5.0446744715693415e-39,,38,3.318274763521167e-42,,,,,2025-11-23T11:26:00.000Z,41800
,,,104,,,,,,2025-11-23T11:27:00.000Z,
,,,,,,,82,,2025-11-23T11:28:00.000Z,41920
,,,,,,,83,,2025-11-23T11:29:00.000Z,41980
,,,,,,,94,,2025-11-23T11:30:00.000Z,42040
143,5.2969081951478085e-39,,70,3.492035773097444e-42,,,,,2025-11-23T11:30:00.000Z,42040
,,,,,,,106,,2025-11-23T11:31:00.000Z,42100
,,,,,,,115,,2025-11-23T11:32:00.000Z,42160
,,,,,,,116,,2025-11-23T11:33:00.000Z,42220
