active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16,vigorous_activity_inutes
171,7.230700075916056e-39,"generic",,0,0,1073,,,2025-11-23T22:53:00.000Z,,
865,5.095000144097717e-38,"walking",,2.5688603448002547e-41,2.1039347377096384e-42,1073,,,2025-11-23T22:53:00.000Z,,
26,7.567011707354012e-40,"running",,6.992479336980837e-43,8.590239846003994e-44,1073,,,2025-11-23T22:53:00.000Z,,
,,,,,,,,,2025-11-23T22:53:00.000Z,,
,,,,,,,86,,2025-11-23T22:54:00.000Z,17544,
,,,,,,,85,,2025-11-23T22:56:00.000Z,17664,
,,,,,,,83,,2025-11-23T22:57:00.000Z,17724,
,,,,,,,84,,2025-11-23T22:58:00.000Z,17784,
,,,,,,,86,,2025-11-23T22:59:00.000Z,17844,
,,,,,,,84,,2025-11-23T23:00:00.000Z,17904,
,,,,,,,85,,2025-11-23T23:01:00.000Z,17964,
,,,,,,,84,,2025-11-23T23:02:00.000Z,18024,
,,,,,,,85,,2025-11-23T23:04:00.000Z,18144,
,,,,,,,87,,2025-11-23T23:05:00.000Z,18204,
,,,,,,,85,,2025-11-23T23:06:00.000Z,18264,
,,,104,,,,,,2025-11-23T23:06:00.000Z,,
866,5.128631307241513e-38,,70,2.570401773111012e-41,,,,,2025-11-23T23:07:00.000Z,18324,
,,,,,,,83,,2025-11-23T23:08:00.000Z,18384,
,,,,,,,81,,2025-11-23T23:09:00.000Z,18444,
,,,,,,,79,,2025-11-23T23:10:00.000Z,18504,
,,,104,,,,,,2025-11-23T23:11:00.000Z,,
,,,,,,,78,,2025-11-23T23:12:00.000Z,18624,
,,,8,,,,,,2025-11-23T23:12:00.000Z,,
,,,,,,,77,,2025-11-23T23:14:00.000Z,18744,
,,,72,,,,,,2025-11-23T23:14:00.000Z,,
866,5.162262470385308e-38,,70,2.5716629417289043e-41,,,,,2025-11-23T23:15:00.000Z,18804,
,,,,,,,78,,2025-11-23T23:16:00.000Z,18864,
867,5.2295247966729e-38,,38,2.578249044511231e-41,,,,,2025-11-23T23:17:00.000Z,18924,
,,,,,,,79,,2025-11-23T23:18:00.000Z,18984,
,,,,,,,83,,2025-11-23T23:19:00.000Z,19044,
,,,,,,,82,,2025-11-23T23:20:00.000Z,19104,
,,,,,,,83,,2025-11-23T23:22:00.000Z,19224,
,,,,,,,84,,2025-11-23T23:24:00.000Z,19344,
,,,136,,,,,,2025-11-23T23:24:00.000Z,,
,,,,,,,86,,2025-11-23T23:25:00.000Z,19404,
,,,8,,,,,,2025-11-23T23:25:00.000Z,,
,,,,,,,85,,2025-11-23T23:26:00.000Z,19464,
,,,72,,,,,,2025-11-23T23:26:00.000Z,,
,,,,,,,86,,2025-11-23T23:27:00.000Z,19524,
