datetime,date,time,hour,day_of_week,temperature_celsius,humidity_percent,precipitation_mm,rain_mm,snowfall_cm,cloud_cover_percent,wind_speed_kmh,wind_direction_degrees,surface_pressure_hpa
2025-10-27 00:00:00,2025-10-27,00:00:00,0,Monday,6.9,70,0.0,0.0,0.0,0,5.6,17,1024.9
2025-10-27 01:00:00,2025-10-27,01:00:00,1,Monday,5.8,75,0.0,0.0,0.0,0,5.4,4,1025.0
2025-10-27 02:00:00,2025-10-27,02:00:00,2,Monday,5.2,75,0.0,0.0,0.0,0,6.1,19,1024.9
2025-10-27 03:00:00,2025-10-27,03:00:00,3,Monday,5.2,71,0.0,0.0,0.0,0,8.3,22,1024.6
2025-10-27 04:00:00,2025-10-27,04:00:00,4,Monday,4.8,71,0.0,0.0,0.0,0,8.6,15,1024.8
2025-10-27 05:00:00,2025-10-27,05:00:00,5,Monday,4.0,77,0.0,0.0,0.0,0,6.3,3,1025.3
2025-10-27 06:00:00,2025-10-27,06:00:00,6,Monday,3.3,81,0.0,0.0,0.0,0,5.7,349,1025.5
2025-10-27 07:00:00,2025-10-27,07:00:00,7,Monday,3.7,86,0.0,0.0,0.0,0,7.9,356,1025.7
2025-10-27 08:00:00,2025-10-27,08:00:00,8,Monday,4.7,79,0.0,0.0,0.0,0,7.2,360,1025.9
2025-10-27 09:00:00,2025-10-27,09:00:00,9,Monday,6.8,69,0.0,0.0,0.0,0,6.9,7,1025.6
2025-10-27 10:00:00,2025-10-27,10:00:00,10,Monday,9.2,57,0.0,0.0,0.0,0,6.9,14,1025.4
2025-10-27 11:00:00,2025-10-27,11:00:00,11,Monday,11.0,47,0.0,0.0,0.0,0,7.6,18,1025.1
2025-10-27 12:00:00,2025-10-27,12:00:00,12,Monday,12.0,43,0.0,0.0,0.0,0,7.5,11,1024.3
2025-10-27 13:00:00,2025-10-27,13:00:00,13,Monday,12.6,42,0.0,0.0,0.0,0,7.6,355,1023.5
2025-10-27 14:00:00,2025-10-27,14:00:00,14,Monday,12.8,41,0.0,0.0,0.0,0,8.1,354,1022.9
2025-10-27 15:00:00,2025-10-27,15:00:00,15,Monday,12.5,41,0.0,0.0,0.0,0,9.2,1,1022.5
2025-10-27 16:00:00,2025-10-27,16:00:00,16,Monday,11.8,45,0.0,0.0,0.0,0,9.9,5,1022.3
2025-10-27 17:00:00,2025-10-27,17:00:00,17,Monday,9.9,59,0.0,0.0,0.0,0,4.9,6,1022.5
2025-10-27 18:00:00,2025-10-27,18:00:00,18,Monday,8.8,65,0.0,0.0,0.0,0,3.8,357,1023.3
2025-10-27 19:00:00,2025-10-27,19:00:00,19,Monday,8.6,63,0.0,0.0,0.0,0,5.8,356,1023.6
2025-10-27 20:00:00,2025-10-27,20:00:00,20,Monday,8.3,60,0.0,0.0,0.0,16,11.7,14,1024.0
2025-10-27 21:00:00,2025-10-27,21:00:00,21,Monday,7.2,69,0.0,0.0,0.0,15,9.3,16,1024.2
2025-10-27 22:00:00,2025-10-27,22:00:00,22,Monday,6.6,73,0.0,0.0,0.0,20,7.3,25,1024.4
2025-10-27 23:00:00,2025-10-27,23:00:00,23,Monday,6.1,76,0.0,0.0,0.0,9,8.7,8,1024.0
2025-10-28 00:00:00,2025-10-28,00:00:00,0,Tuesday,5.8,77,0.0,0.0,0.0,10,8.8,11,1023.7
2025-10-28 01:00:00,2025-10-28,01:00:00,1,Tuesday,5.7,74,0.0,0.0,0.0,16,10.0,17,1023.6
2025-10-28 02:00:00,2025-10-28,02:00:00,2,Tuesday,5.4,75,0.0,0.0,0.0,23,9.2,20,1023.7
2025-10-28 03:00:00,2025-10-28,03:00:00,3,Tuesday,5.0,77,0.0,0.0,0.0,4,9.6,16,1023.3
2025-10-28 04:00:00,2025-10-28,04:00:00,4,Tuesday,4.7,78,0.0,0.0,0.0,0,9.5,19,1023.1
2025-10-28 05:00:00,2025-10-28,05:00:00,5,Tuesday,4.4,80,0.0,0.0,0.0,0,10.8,18,1023.0
2025-10-28 06:00:00,2025-10-28,06:00:00,6,Tuesday,4.1,81,0.0,0.0,0.0,0,10.9,16,1023.0
2025-10-28 07:00:00,2025-10-28,07:00:00,7,Tuesday,4.5,83,0.0,0.0,0.0,0,10.7,5,1023.6
2025-10-28 08:00:00,2025-10-28,08:00:00,8,Tuesday,5.9,78,0.0,0.0,0.0,100,9.7,3,1023.6
2025-10-28 09:00:00,2025-10-28,09:00:00,9,Tuesday,7.9,67,0.0,0.0,0.0,100,10.9,20,1023.6
2025-10-28 10:00:00,2025-10-28,10:00:00,10,Tuesday,10.0,59,0.0,0.0,0.0,93,13.9,38,1023.0
2025-10-28 11:00:00,2025-10-28,11:00:00,11,Tuesday,11.7,54,0.0,0.0,0.0,100,21.7,61,1022.5
2025-10-28 12:00:00,2025-10-28,12:00:00,12,Tuesday,11.7,56,0.0,0.0,0.0,100,19.8,60,1021.3
2025-10-28 13:00:00,2025-10-28,13:00:00,13,Tuesday,11.5,59,0.0,0.0,0.0,100,20.4,64,1020.8
2025-10-28 14:00:00,2025-10-28,14:00:00,14,Tuesday,11.7,58,0.0,0.0,0.0,100,17.4,62,1020.4
2025-10-28 15:00:00,2025-10-28,15:00:00,15,Tuesday,12.0,55,0.0,0.0,0.0,100,16.0,57,1020.3
2025-10-28 16:00:00,2025-10-28,16:00:00,16,Tuesday,12.2,53,0.0,0.0,0.0,100,11.7,52,1019.5
2025-10-28 17:00:00,2025-10-28,17:00:00,17,Tuesday,11.7,55,0.0,0.0,0.0,100,8.4,40,1019.2
2025-10-28 18:00:00,2025-10-28,18:00:00,18,Tuesday,11.7,54,0.0,0.0,0.0,100,12.3,30,1018.8
2025-10-28 19:00:00,2025-10-28,19:00:00,19,Tuesday,11.5,56,0.0,0.0,0.0,100,11.5,25,1019.0
2025-10-28 20:00:00,2025-10-28,20:00:00,20,Tuesday,11.1,57,0.0,0.0,0.0,100,12.9,35,1019.1
2025-10-28 21:00:00,2025-10-28,21:00:00,21,Tuesday,10.5,60,0.0,0.0,0.0,96,14.3,42,1019.0
2025-10-28 22:00:00,2025-10-28,22:00:00,22,Tuesday,10.0,61,0.0,0.0,0.0,97,14.9,37,1018.8
2025-10-28 23:00:00,2025-10-28,23:00:00,23,Tuesday,9.6,65,0.0,0.0,0.0,96,16.7,34,1018.4
2025-10-29 00:00:00,2025-10-29,00:00:00,0,Wednesday,9.1,69,0.0,0.0,0.0,86,16.1,31,1017.6
2025-10-29 01:00:00,2025-10-29,01:00:00,1,Wednesday,9.1,69,0.0,0.0,0.0,30,14.4,24,1017.6
2025-10-29 02:00:00,2025-10-29,02:00:00,2,Wednesday,8.5,71,0.0,0.0,0.0,36,14.0,22,1017.3
2025-10-29 03:00:00,2025-10-29,03:00:00,3,Wednesday,8.0,74,0.0,0.0,0.0,38,13.2,17,1017.2
2025-10-29 04:00:00,2025-10-29,04:00:00,4,Wednesday,7.8,75,0.0,0.0,0.0,100,12.5,15,1017.2
2025-10-29 05:00:00,2025-10-29,05:00:00,5,Wednesday,7.7,76,0.0,0.0,0.0,29,13.3,16,1016.9
2025-10-29 06:00:00,2025-10-29,06:00:00,6,Wednesday,7.7,74,0.0,0.0,0.0,7,13.5,16,1016.6
2025-10-29 07:00:00,2025-10-29,07:00:00,7,Wednesday,7.0,76,0.0,0.0,0.0,100,11.3,27,1016.8
2025-10-29 08:00:00,2025-10-29,08:00:00,8,Wednesday,8.3,70,0.0,0.0,0.0,93,9.2,7,1017.4
2025-10-29 09:00:00,2025-10-29,09:00:00,9,Wednesday,10.0,61,0.0,0.0,0.0,100,11.7,15,1017.4
2025-10-29 10:00:00,2025-10-29,10:00:00,10,Wednesday,11.8,56,0.0,0.0,0.0,100,11.6,41,1017.3
2025-10-29 11:00:00,2025-10-29,11:00:00,11,Wednesday,13.0,55,0.0,0.0,0.0,100,10.9,52,1017.0
2025-10-29 12:00:00,2025-10-29,12:00:00,12,Wednesday,13.5,54,0.0,0.0,0.0,100,10.9,56,1015.9
2025-10-29 13:00:00,2025-10-29,13:00:00,13,Wednesday,12.6,59,0.0,0.0,0.0,100,10.7,60,1016.0
2025-10-29 14:00:00,2025-10-29,14:00:00,14,Wednesday,12.5,60,0.0,0.0,0.0,100,10.6,58,1015.7
2025-10-29 15:00:00,2025-10-29,15:00:00,15,Wednesday,12.2,63,0.0,0.0,0.0,77,11.8,54,1015.2
2025-10-29 16:00:00,2025-10-29,16:00:00,16,Wednesday,11.9,65,0.0,0.0,0.0,38,11.2,64,1015.5
2025-10-29 17:00:00,2025-10-29,17:00:00,17,Wednesday,11.0,70,0.0,0.0,0.0,61,8.1,58,1015.7
2025-10-29 18:00:00,2025-10-29,18:00:00,18,Wednesday,10.7,71,0.0,0.0,0.0,24,7.9,51,1015.7
2025-10-29 19:00:00,2025-10-29,19:00:00,19,Wednesday,10.8,72,0.0,0.0,0.0,100,8.9,50,1015.9
2025-10-29 20:00:00,2025-10-29,20:00:00,20,Wednesday,11.2,71,0.0,0.0,0.0,95,8.2,50,1015.9
2025-10-29 21:00:00,2025-10-29,21:00:00,21,Wednesday,11.1,72,0.0,0.0,0.0,98,9.6,49,1015.5
2025-10-29 22:00:00,2025-10-29,22:00:00,22,Wednesday,11.0,75,0.1,0.1,0.0,100,8.3,63,1015.5
2025-10-29 23:00:00,2025-10-29,23:00:00,23,Wednesday,11.0,77,0.0,0.0,0.0,100,8.8,55,1014.9
2025-10-30 00:00:00,2025-10-30,00:00:00,0,Thursday,10.7,81,0.1,0.1,0.0,100,13.1,65,1013.6
2025-10-30 01:00:00,2025-10-30,01:00:00,1,Thursday,10.7,84,0.2,0.2,0.0,100,14.4,64,1012.6
2025-10-30 02:00:00,2025-10-30,02:00:00,2,Thursday,11.0,85,0.0,0.0,0.0,100,13.9,69,1011.7
2025-10-30 03:00:00,2025-10-30,03:00:00,3,Thursday,11.2,85,0.0,0.0,0.0,100,14.7,71,1010.8
